DATE,CPI
1/1/1948,8.83257
4/1/1948,9.01106
7/1/1948,8.47784
10/1/1948,4.5258
1/1/1949,1.3832
4/1/1949,-0.31953
7/1/1949,-2.78727
10/1/1949,-2.12355
1/1/1950,-1.48963
4/1/1950,-0.62718
7/1/1950,2.052
10/1/1950,4.36743
1/1/1951,8.94573
4/1/1951,9.17251
7/1/1951,7.14778
10/1/1951,6.57397
1/1/1952,2.80192
4/1/1952,2.08119
7/1/1952,2.82776
10/1/1952,1.44395
1/1/1953,0.76972
4/1/1953,0.88095
7/1/1953,0.6625
10/1/1953,0.72419
1/1/1954,1.25219
4/1/1954,0.71108
7/1/1954,-0.01242
10/1/1954,-0.49585
1/1/1955,-0.59362
4/1/1955,-0.5698
7/1/1955,-0.23597
10/1/1955,0.37374
1/1/1956,0.24882
4/1/1956,1.04647
7/1/1956,2.01668
10/1/1956,2.58161
1/1/1957,3.41276
4/1/1957,3.61238
7/1/1957,3.46553
10/1/1957,3.0853
1/1/1958,3.45614
4/1/1958,3.27225
7/1/1958,2.2998
10/1/1958,1.91315
1/1/1959,0.89317
4/1/1959,0.39175
7/1/1959,0.96841
10/1/1959,1.47414
1/1/1960,1.39112
4/1/1960,1.82486
7/1/1960,1.35876
10/1/1960,1.39598
1/1/1961,1.50811
4/1/1961,0.8679
7/1/1961,1.20536
10/1/1961,0.70517
1/1/1962,0.89366
4/1/1962,1.30741
7/1/1962,1.20214
10/1/1962,1.30043
1/1/1963,1.22896
4/1/1963,1.03684
7/1/1963,1.36384
10/1/1963,1.39346
1/1/1964,1.48748
4/1/1964,1.46288
7/1/1964,1.07422
10/1/1964,1.2661
1/1/1965,1.16392
4/1/1965,1.64622
7/1/1965,1.71766
10/1/1965,1.78457
1/1/1966,2.41824
4/1/1966,2.68868
7/1/1966,3.27177
10/1/1966,3.56955
1/1/1967,2.87081
4/1/1967,2.56675
7/1/1967,2.70823
10/1/1967,2.99037
1/1/1968,3.74115
4/1/1968,4.1206
7/1/1968,4.47761
10/1/1968,4.62598
1/1/1969,4.87329
4/1/1969,5.50193
7/1/1969,5.52381
10/1/1969,5.83255
1/1/1970,6.22677
4/1/1970,6.03843
7/1/1970,5.68592
10/1/1970,5.6
1/1/1971,4.8119
4/1/1971,4.31406
7/1/1971,4.26985
10/1/1971,3.53535
1/1/1972,3.50584
4/1/1972,3.22581
7/1/1972,3.0303
10/1/1972,3.33333
1/1/1973,4.1129
4/1/1973,5.60897
7/1/1973,6.83625
10/1/1973,8.41857
1/1/1974,9.91479
4/1/1974,10.54628
7/1/1974,11.45833
10/1/1974,12.04644
1/1/1975,11.1346
4/1/1975,9.54015
7/1/1975,8.67824
