Date,2.5 M225,2.5 M225 CPR 1M,2.5 M225 CPR 3M,2.5 M225 CPR 6M
6/1/2020,19,4.3,6.3,11.2
6/2/2020,19,4.3,6.2,10.7
6/3/2020,19,4.3,5.9,10
6/4/2020,16,4.3,5.8,9.5
6/5/2020,16,4.1,5.4,8.5
6/8/2020,16,4.2,5.8,9.9
6/9/2020,16,4.3,6.1,10.6
6/10/2020,16,4.6,6.9,12.5
6/11/2020,13,4.6,7.3,13.3
6/12/2020,13,4.5,6.7,11.9
6/15/2020,13,4.5,6.6,11.8
6/16/2020,13,4.4,6.3,11.1
6/17/2020,13,4.4,6.3,11
6/18/2020,13,4.4,6.4,11.1
6/19/2020,16,4.4,6.4,11.2
6/22/2020,16,4.4,6.4,11.2
6/23/2020,16,4.5,6.7,12
6/24/2020,16,4.5,6.8,12.2
6/25/2020,21,4.5,7,12.6
6/26/2020,21,4.5,7.3,13.5
6/29/2020,21,4.5,7.3,13.6
6/30/2020,21,4.5,7.6,14.2
7/1/2020,25,4.5,7.2,13.3
7/2/2020,25,4.5,7.3,13.5
7/6/2020,25,4.5,7.4,14
7/7/2020,25,4.5,7.9,15.2
7/8/2020,25,4.5,7.8,15.1
7/9/2020,25,5.6,9.8,17
7/10/2020,25,5.5,9.5,16.4
7/13/2020,25,5.5,9.5,16.5
7/14/2020,25,5.6,9.7,16.9
7/15/2020,25,5.6,9.8,17
7/16/2020,25,5.6,10,17.3
7/17/2020,25,5.6,9.6,16.5
7/20/2020,25,5.6,9.5,16.4
7/21/2020,25,5.6,9.9,17.2
7/22/2020,25,5.7,10,17.5
7/23/2020,26,5.6,10,17.3
7/24/2020,26,5.6,9.7,16.8
7/27/2020,26,5.7,10.2,17.7
7/28/2020,26,5.7,10.6,18.4
7/29/2020,26,5.8,11.4,19.2
7/30/2020,26,5.8,12,20.5
7/31/2020,26,5.8,11.3,18.9
8/3/2020,26,5.8,10.9,18.2
8/4/2020,26,5.8,11.1,18.6
8/5/2020,26,5.8,10.6,17.5
8/6/2020,27,5.8,10.7,17.8
8/7/2020,27,5.8,10.6,17.4
8/10/2020,27,7.7,11,17.8
8/11/2020,27,7.3,10.3,16.8
8/12/2020,27,7.4,10.4,16.9
8/13/2020,27,7.3,10.3,16.7
8/14/2020,27,7.3,10.1,16.3
8/17/2020,27,7.4,10.4,16.8
8/18/2020,27,7.4,10.6,17.2
8/19/2020,27,7.4,10.7,17.4
8/20/2020,26,7.4,10.7,17.5
8/21/2020,26,7.5,11.1,18.4
8/24/2020,26,7.5,11.2,18.5
8/25/2020,26,7.5,10.9,18
8/26/2020,26,7.5,10.9,18
8/27/2020,26,7.5,10.6,17.3
8/28/2020,26,7.5,10.8,17.6
8/31/2020,26,7.5,11,18.2
9/1/2020,26,7.5,10.3,16.8
9/2/2020,26,7.5,10.4,16.9
9/3/2020,26,7.5,10.3,16.8
9/4/2020,26,7.5,9.7,15.1
9/8/2020,26,7.6,10,15.7
9/9/2020,26,7.6,10.1,16.2
9/10/2020,24,7.6,10,16
9/11/2020,24,7.6,10,16
9/14/2020,24,7.6,9.9,15.9
9/15/2020,24,7.6,9.9,15.8
9/16/2020,24,7.6,9.9,15.8
9/17/2020,23,7.6,10.1,16.3
9/18/2020,23,7.6,9.9,15.7
9/21/2020,23,7.6,9.9,15.9
9/22/2020,23,7.6,10,16
9/23/2020,23,7.6,9.9,15.8
9/24/2020,32,7.6,10,16
9/25/2020,32,7.6,10.2,16.4
9/28/2020,32,7.6,10.3,16.5
9/29/2020,32,7.6,10.4,16.9
9/30/2020,32,7.6,10.2,16.3
10/1/2020,32,7.6,9.9,15.9
10/2/2020,32,7.6,9.9,15.8
10/5/2020,32,7.6,9.6,15.1
10/6/2020,32,7.6,9.8,15.7
10/7/2020,32,7.6,9.8,15.5
10/8/2020,33,7,10,16.5
10/9/2020,33,7,10.1,16.6
10/13/2020,33,7.1,10.4,17.3
10/14/2020,33,7.2,10.6,17.6
10/15/2020,37,7.1,10.6,17.5
10/16/2020,37,7.2,10.6,17.6
