Date,Container A,Rail A
1/2/2015,160,155
1/9/2015,165,155
1/16/2015,170,155
1/23/2015,160,155
1/30/2015,160,155
2/6/2015,155,150
2/13/2015,155,150
2/20/2015,155,150
2/27/2015,150,145
3/6/2015,145,145
3/13/2015,145,145
3/20/2015,145,145
3/27/2015,145,150
4/3/2015,145,150
4/10/2015,145,150
4/17/2015,145,150
4/24/2015,152,160
5/1/2015,152,160
5/8/2015,152,160
5/15/2015,152,155
5/22/2015,152,155
5/29/2015,152,155
6/5/2015,152,155
6/12/2015,152,155
6/19/2015,152,155
6/26/2015,152,155
7/2/2015,152,155
7/10/2015,152,155
7/17/2015,152,155
7/24/2015,153,160
7/31/2015,153,160
8/7/2015,153,160
8/14/2015,155,160
8/21/2015,155,160
8/28/2015,155,160
9/4/2015,155,160
9/11/2015,185,190
9/18/2015,185,190
9/25/2015,200,195
10/2/2015,210,200
10/9/2015,210,200
10/16/2015,210,200
10/23/2015,215,200
10/30/2015,220,220
11/6/2015,240,240
11/13/2015,240,240
11/20/2015,240,240
11/27/2015,240,240
12/4/2015,240,240
12/11/2015,240,240
12/18/2015,240,240
12/24/2015,240,240
12/31/2015,240,240
1/8/2016,250,235
1/15/2016,275,275
1/22/2016,275,275
1/29/2016,300,275
2/5/2016,320,275
2/12/2016,320,275
2/19/2016,350,275
2/26/2016,380,300
3/4/2016,380,300
3/11/2016,380,300
3/18/2016,380,350
3/24/2016,380,350
4/1/2016,380,350
4/8/2016,380,350
4/15/2016,380,350
4/22/2016,370,350
4/29/2016,365,350
5/6/2016,360,325
5/13/2016,360,325
5/20/2016,360,325
5/27/2016,360,325
6/3/2016,345,290
6/10/2016,330,270
6/17/2016,330,270
6/24/2016,330,270
7/1/2016,330,270
7/8/2016,320,250
7/15/2016,320,250
7/22/2016,320,240
7/29/2016,320,240
8/5/2016,320,240
8/12/2016,310,230
8/19/2016,310,230
8/26/2016,305,225
9/2/2016,300,225
9/9/2016,300,225
9/16/2016,295,225
9/23/2016,285,220
9/30/2016,285,220
10/7/2016,285,220
10/14/2016,285,220
10/21/2016,285,220
10/28/2016,285,220
11/4/2016,285,220
11/10/2016,285,220
11/18/2016,285,220
11/25/2016,285,220
12/2/2016,285,220
12/9/2016,285,220
12/16/2016,285,220
12/23/2016,285,220
12/30/2016,285,220
1/6/2017,275,210
1/13/2017,270,210
1/20/2017,270,210
1/27/2017,260,210
2/3/2017,260,210
2/10/2017,260,210
2/17/2017,240,210
2/24/2017,240,210
3/3/2017,240,210
3/10/2017,240,210
3/17/2017,240,210
3/24/2017,240,210
3/31/2017,225,205
4/7/2017,225,205
4/13/2017,225,205
4/21/2017,205,205
4/28/2017,205,205
5/5/2017,195,205
5/12/2017,175,205
5/19/2017,175,205
5/26/2017,165,205
6/2/2017,165,205
6/9/2017,165,205
6/16/2017,165,185
6/23/2017,165,185
6/30/2017,165,185
7/7/2017,165,185
7/14/2017,165,185
7/21/2017,165,175
7/28/2017,160,175
8/4/2017,160,175
8/11/2017,155,175
8/18/2017,155,175
8/25/2017,155,165
9/1/2017,155,165
9/8/2017,155,165
9/15/2017,155,165
9/22/2017,155,165
9/29/2017,150,160
10/6/2017,150,155
10/13/2017,150,150
10/20/2017,145,145
10/27/2017,145,140
11/3/2017,140,140
11/10/2017,140,140
11/17/2017,140,140
11/24/2017,140,140
12/1/2017,140,140
12/8/2017,140,140
12/15/2017,140,140
12/22/2017,140,140
12/29/2017,135,140
1/5/2018,130,135
1/12/2018,125,130
1/19/2018,120,120
1/26/2018,120,120
2/2/2018,120,120
2/9/2018,125,125
2/16/2018,120,125
2/23/2018,120,125
3/2/2018,120,125
3/9/2018,125,130
3/16/2018,125,130
3/23/2018,125,130
3/29/2018,120,130
4/6/2018,120,130
4/13/2018,120,130
4/20/2018,120,130
4/27/2018,115,130
5/4/2018,110,115
5/11/2018,110,110
5/18/2018,110,110
5/25/2018,110,110
6/1/2018,110,110
