Date,FNMA 2.0
1/20/2017,92.05078
1/23/2017,92.65234
1/24/2017,92.10938
1/25/2017,91.71875
1/26/2017,91.92969
1/27/2017,92.16016
1/30/2017,92.19922
1/31/2017,92.48828
2/1/2017,92.33594
2/2/2017,92.40625
2/3/2017,92.29297
2/6/2017,92.98047
2/7/2017,93.14844
2/8/2017,93.19922
2/9/2017,92.75781
2/10/2017,92.66016
2/13/2017,92.47656
2/14/2017,92.14844
2/15/2017,91.85938
2/16/2017,92.37891
2/17/2017,92.64062
2/21/2017,92.625
2/22/2017,92.71875
2/23/2017,93.02734
2/24/2017,93.67188
2/27/2017,93.21484
2/28/2017,93.23047
3/1/2017,92.35547
3/2/2017,92.10547
3/3/2017,92.16797
3/6/2017,92.21094
3/7/2017,92.03516
3/8/2017,91.49219
3/9/2017,91.13672
3/10/2017,91.32031
3/13/2017,91.13672
3/14/2017,91.24219
3/15/2017,92.12109
3/16/2017,92.00781
3/17/2017,92.17578
3/20/2017,92.4375
3/21/2017,92.75391
3/22/2017,93.07031
3/23/2017,92.95312
3/24/2017,93.12109
3/27/2017,93.3125
3/28/2017,93.02344
3/29/2017,93.26562
3/30/2017,93.0625
3/31/2017,93.32422
4/3/2017,93.75781
4/4/2017,93.77344
4/5/2017,93.81641
4/6/2017,93.92188
4/7/2017,93.37109
4/10/2017,93.50391
4/11/2017,94.07422
4/12/2017,94.11719
4/13/2017,94.72266
4/17/2017,94.57812
4/18/2017,95.19141
4/19/2017,95.04688
4/20/2017,94.73828
4/21/2017,94.83594
4/24/2017,94.53906
4/25/2017,94.14062
4/26/2017,94.30859
4/27/2017,94.47266
4/28/2017,94.57812
5/1/2017,94.28906
5/2/2017,94.58594
5/3/2017,94.42578
5/4/2017,94.10156
5/5/2017,94.14453
5/8/2017,93.75391
5/9/2017,93.50781
5/10/2017,93.49219
5/11/2017,93.59766
5/12/2017,94.22656
5/15/2017,94.21094
5/16/2017,94.32031
5/17/2017,95.26562
5/18/2017,95.10938
5/19/2017,95.03125
5/22/2017,94.98047
5/23/2017,94.75
5/24/2017,94.96094
5/25/2017,95.08203
5/26/2017,95.12109
5/30/2017,95.42578
5/31/2017,95.57422
6/1/2017,95.45312
6/2/2017,95.91406
6/5/2017,95.76953
6/6/2017,96.04688
6/7/2017,95.80859
6/8/2017,95.48047
6/9/2017,95.45312
6/12/2017,95.36328
6/13/2017,95.40625
6/14/2017,95.94922
6/15/2017,95.72656
6/16/2017,95.83594
6/19/2017,95.56641
6/20/2017,95.85938
6/21/2017,95.83984
6/22/2017,95.90234
6/23/2017,95.98828
6/26/2017,96.03906
6/27/2017,95.59766
6/28/2017,95.55859
6/29/2017,95.25781
6/30/2017,94.98828
7/3/2017,94.64062
7/5/2017,94.74219
7/6/2017,94.54297
7/7/2017,94.40625
7/10/2017,94.39062
7/11/2017,94.50781
7/12/2017,94.85938
7/13/2017,94.73828
7/14/2017,95.01562
7/17/2017,95.125
7/18/2017,95.49219
7/19/2017,95.48438
7/20/2017,95.51172
7/21/2017,95.78125
7/24/2017,95.625
7/25/2017,95.08594
7/26/2017,95.57812
7/27/2017,95.40234
7/28/2017,95.59375
7/31/2017,95.58594
8/1/2017,95.92188
8/2/2017,95.82031
8/3/2017,96.11328
8/4/2017,95.83594
8/7/2017,95.95703
8/8/2017,95.79297
8/9/2017,95.89062
8/10/2017,96.10938
8/11/2017,96.40625
8/14/2017,96.17578
8/15/2017,95.81641
8/16/2017,96.16406
8/17/2017,96.38672
8/18/2017,96.42188
8/21/2017,96.55078
8/22/2017,96.29688
8/23/2017,96.65234
8/24/2017,96.48828
8/25/2017,96.66016
8/28/2017,96.80078
8/29/2017,97.02344
8/30/2017,96.95312
8/31/2017,97.14062
9/1/2017,96.92578
9/5/2017,97.63281
9/6/2017,97.375
9/7/2017,97.74609
9/8/2017,97.52344
9/11/2017,97.07422
9/12/2017,96.75781
9/13/2017,96.58984
9/14/2017,96.54688
9/15/2017,96.50391
9/18/2017,96.33594
9/19/2017,96.28125
9/20/2017,96
9/21/2017,96
9/22/2017,96.15234
9/25/2017,96.48828
9/26/2017,96.42969
9/27/2017,95.91406
9/28/2017,96.03906
9/29/2017,95.85938
10/2/2017,95.81641
10/3/2017,95.91016
10/4/2017,95.92969
10/5/2017,95.79297
10/6/2017,95.42188
10/10/2017,95.63281
10/11/2017,95.62109
10/12/2017,95.79297
10/13/2017,96.125
10/16/2017,95.83984
10/17/2017,95.91016
10/18/2017,95.65234
10/19/2017,95.79688
10/20/2017,95.40625
10/23/2017,95.50781
10/24/2017,95.33203
10/25/2017,95.08203
10/26/2017,95.04297
10/27/2017,95.28906
10/30/2017,95.74219
10/31/2017,95.69531
11/1/2017,95.66797
11/2/2017,95.89062
11/3/2017,95.92969
11/6/2017,96.12109
11/7/2017,96.21094
11/8/2017,95.84375
11/9/2017,95.78906
11/10/2017,95.33203
11/13/2017,95.28516
11/14/2017,95.42578
11/15/2017,95.75
11/16/2017,95.5625
11/17/2017,95.63281
11/20/2017,95.46875
11/21/2017,95.47656
11/22/2017,95.96094
11/24/2017,95.8125
11/27/2017,95.98047
11/28/2017,95.91797
11/29/2017,95.65625
11/30/2017,95.27734
12/1/2017,95.66406
12/4/2017,95.46875
12/5/2017,95.59375
12/6/2017,95.89062
12/7/2017,95.58203
12/8/2017,95.33594
12/11/2017,95.30078
12/12/2017,95.17969
12/13/2017,95.73047
12/14/2017,95.69141
12/15/2017,95.55078
12/18/2017,95.36328
12/19/2017,94.83594
12/20/2017,94.61328
12/21/2017,94.6875
12/22/2017,94.65234
12/26/2017,94.85156
12/27/2017,95.30469
12/28/2017,95.17578
12/29/2017,95.40625
1/2/2018,95.02344
1/3/2018,95.15234
1/4/2018,95.05469
1/5/2018,94.90625
1/8/2018,94.65234
1/9/2018,94.24219
1/10/2018,94.24219
1/11/2018,94.39844
1/12/2018,94.19922
1/16/2018,94.23047
1/17/2018,93.95703
1/18/2018,93.78125
1/19/2018,93.58594
1/22/2018,93.41406
1/23/2018,93.78125
1/24/2018,93.59375
1/25/2018,93.84375
1/26/2018,93.5
1/29/2018,93.27734
1/30/2018,93.15625
1/31/2018,93.13281
2/1/2018,92.82031
2/2/2018,92.38281
2/5/2018,92.9375
2/6/2018,93.14453
2/7/2018,92.62891
2/8/2018,92.29688
2/9/2018,92.62109
2/12/2018,92.39062
2/13/2018,92.5
2/14/2018,91.83594
2/15/2018,91.96094
2/16/2018,92.10547
2/20/2018,91.97266
2/21/2018,91.6875
2/22/2018,91.94531
2/23/2018,92.30078
2/26/2018,92.4375
2/27/2018,91.99219
2/28/2018,92.26562
3/1/2018,92.89062
3/2/2018,92.47656
3/5/2018,92.33594
3/6/2018,92.35547
3/7/2018,92.34766
3/8/2018,92.25
3/9/2018,92.08594
3/12/2018,92.28906
3/13/2018,92.42969
3/14/2018,92.67969
3/15/2018,92.625
3/16/2018,92.44531
3/19/2018,92.50391
3/20/2018,92.20703
3/21/2018,92.06641
3/22/2018,92.67969
3/23/2018,92.82812
3/26/2018,92.6875
3/27/2018,93.15234
3/28/2018,93.23828
3/29/2018,93.49609
4/2/2018,93.64844
4/3/2018,93.23438
4/4/2018,93.21094
4/5/2018,92.92969
4/6/2018,93.41406
4/9/2018,93.08984
4/10/2018,92.98047
4/11/2018,93.06641
4/12/2018,92.69922
4/13/2018,92.72656
4/16/2018,92.71094
4/17/2018,92.84375
4/18/2018,92.42188
4/19/2018,92.13672
4/20/2018,91.88281
4/23/2018,91.70703
4/24/2018,91.73047
4/25/2018,91.49219
4/26/2018,91.73828
4/27/2018,91.98047
4/30/2018,92.14062
5/1/2018,91.875
5/2/2018,92.02344
5/3/2018,92.21094
5/4/2018,92.25391
5/7/2018,92.24609
5/8/2018,92.10156
5/9/2018,91.60938
5/10/2018,91.75391
5/11/2018,91.76172
5/14/2018,91.63672
5/15/2018,91.00391
5/16/2018,90.92969
5/17/2018,90.90234
5/18/2018,91.26953
5/21/2018,91.28516
5/22/2018,91.3125
5/23/2018,91.88672
5/24/2018,92.07422
5/25/2018,92.49609
5/29/2018,94.03516
5/30/2018,93.32812
5/31/2018,93.48438
6/1/2018,92.88672
6/4/2018,92.55469
6/5/2018,92.75781
6/6/2018,92.32812
6/7/2018,92.67969
6/8/2018,92.45703
6/11/2018,92.27734
6/12/2018,92.28516
6/13/2018,92.08594
6/14/2018,92.35156
6/15/2018,92.53516
6/18/2018,92.56641
6/19/2018,92.86328
6/20/2018,92.625
6/21/2018,92.90625
6/22/2018,92.88672
6/25/2018,93.14844
6/26/2018,93.13281
6/27/2018,93.59766
6/28/2018,93.44531
6/29/2018,93.4375
7/2/2018,93.30469
7/3/2018,93.55469
7/5/2018,93.53125
7/6/2018,93.66797
7/9/2018,93.21094
7/10/2018,93.09375
7/11/2018,93.37891
7/12/2018,93.30469
7/13/2018,93.53906
7/16/2018,93.36328
7/17/2018,93.32031
7/18/2018,93.27344
7/19/2018,93.53125
7/20/2018,93.26172
7/23/2018,92.74219
7/24/2018,92.85938
7/25/2018,92.97656
7/26/2018,92.67969
7/27/2018,92.80859
7/30/2018,92.76953
7/31/2018,92.85156
8/1/2018,92.60547
8/2/2018,92.79297
8/3/2018,93.11328
8/6/2018,93.25
8/7/2018,93.02344
8/8/2018,92.82031
8/9/2018,93.05078
8/10/2018,93.625
8/13/2018,93.53516
8/14/2018,93.42969
8/15/2018,93.75781
8/16/2018,93.63281
8/17/2018,93.64062
8/20/2018,94.01562
8/21/2018,93.88672
8/22/2018,94.05078
8/23/2018,94.0625
8/24/2018,94.03516
8/27/2018,93.875
8/28/2018,93.68359
8/29/2018,93.68359
8/30/2018,93.86719
8/31/2018,93.98828
9/4/2018,93.70312
9/5/2018,93.75
9/6/2018,93.94922
9/7/2018,93.48438
9/10/2018,93.26953
9/11/2018,93.00781
9/12/2018,93.11719
9/13/2018,93.125
9/14/2018,92.9375
9/17/2018,92.92578
9/18/2018,92.67578
9/19/2018,92.49609
9/20/2018,92.53516
9/21/2018,92.625
9/24/2018,92.60156
9/25/2018,92.46094
9/26/2018,92.75
9/27/2018,92.78906
9/28/2018,92.85938
10/1/2018,92.76172
10/2/2018,92.93359
10/3/2018,92.3125
10/4/2018,92.12891
10/5/2018,91.72266
10/9/2018,91.86719
10/10/2018,91.82031
10/11/2018,92.44531
10/12/2018,92.41406
10/15/2018,92.27344
10/16/2018,92.33203
10/17/2018,92.19141
10/18/2018,92.29297
10/19/2018,92.12109
10/22/2018,92.19531
10/23/2018,92.46875
10/24/2018,92.80859
10/25/2018,92.75
10/26/2018,93.25781
10/29/2018,93.20312
10/30/2018,93.07031
10/31/2018,92.74219
11/1/2018,92.89453
11/2/2018,92.40625
11/5/2018,92.53516
11/6/2018,92.41797
11/7/2018,92.15625
11/8/2018,92.01172
11/9/2018,92.36328
11/13/2018,92.75781
11/14/2018,93.00781
11/15/2018,93.06641
11/16/2018,93.44531
11/19/2018,93.62109
11/20/2018,93.67188
11/21/2018,93.57812
11/23/2018,93.66797
11/26/2018,93.5625
11/27/2018,93.69141
11/28/2018,93.85547
11/29/2018,93.92188
11/30/2018,94.0625
12/3/2018,94.1875
12/4/2018,94.60938
12/6/2018,94.98828
12/7/2018,95.29297
12/10/2018,94.99609
12/11/2018,94.80469
12/12/2018,94.67188
12/13/2018,94.71094
12/14/2018,94.91406
12/17/2018,95.17578
12/18/2018,95.47266
12/19/2018,95.76953
12/20/2018,95.67969
12/21/2018,95.73047
12/24/2018,96.10547
12/26/2018,95.78906
12/27/2018,96.25781
12/28/2018,96.36719
12/31/2018,96.76562
1/2/2019,96.92969
1/3/2019,97.79297
1/4/2019,97.07031
1/7/2019,96.89844
1/8/2019,96.62891
1/9/2019,96.40234
1/10/2019,96.41797
1/11/2019,96.67578
1/14/2019,96.65625
1/15/2019,96.70312
1/16/2019,96.57812
1/17/2019,96.46094
1/18/2019,96.19141
1/22/2019,96.57031
1/23/2019,96.4375
1/24/2019,96.77344
1/25/2019,96.51172
1/28/2019,96.59375
1/29/2019,96.84766
1/30/2019,97.07812
1/31/2019,97.53906
2/1/2019,97.13672
2/4/2019,96.96875
2/5/2019,97.13281
2/6/2019,97.19531
2/7/2019,97.5625
2/8/2019,97.46484
2/11/2019,97.28125
2/12/2019,97.17188
2/13/2019,97.00391
2/14/2019,97.37891
2/15/2019,97.30469
2/19/2019,97.5
2/20/2019,97.48438
2/21/2019,97.26953
2/22/2019,97.54688
2/25/2019,97.44922
2/26/2019,97.72266
2/27/2019,97.40625
2/28/2019,97.30469
3/1/2019,97.02344
3/4/2019,97.25
3/5/2019,97.28125
3/6/2019,97.52734
3/7/2019,97.96094
3/8/2019,97.80859
3/11/2019,97.73047
3/12/2019,97.97266
3/13/2019,97.98047
3/14/2019,97.88281
3/15/2019,98.14062
3/18/2019,98.08984
3/19/2019,98.04688
3/20/2019,98.62109
3/21/2019,98.62109
3/22/2019,99.21484
3/25/2019,99.53906
3/26/2019,99.60547
3/27/2019,99.85156
3/28/2019,99.74609
3/29/2019,99.57031
4/1/2019,99.11719
4/2/2019,99.26953
4/3/2019,99.08594
4/4/2019,99.14844
4/5/2019,98.97656
4/8/2019,98.89844
4/9/2019,99.05859
4/10/2019,99.23438
4/11/2019,99.06641
4/12/2019,98.73047
4/15/2019,98.79297
4/16/2019,98.56641
4/17/2019,98.625
4/18/2019,98.86719
4/22/2019,98.73047
4/23/2019,98.91016
4/24/2019,99.23828
4/25/2019,99.17188
4/26/2019,99.41406
4/29/2019,99.26953
4/30/2019,99.50391
5/1/2019,99.46484
5/2/2019,99.19531
5/3/2019,99.35938
5/6/2019,99.59766
5/7/2019,99.92188
5/8/2019,99.49609
5/9/2019,99.69922
5/10/2019,99.74219
5/13/2019,99.74219
5/14/2019,99.74219
5/15/2019,99.74219
5/16/2019,99.74219
5/17/2019,99.74219
5/20/2019,99.74219
5/21/2019,99.74219
5/22/2019,99.74219
5/23/2019,99.74219
5/24/2019,99.74219
5/28/2019,99.74219
5/29/2019,99.74219
5/30/2019,99.74219
5/31/2019,99.74219
6/3/2019,99.74219
6/4/2019,99.74219
6/5/2019,99.74219
6/6/2019,99.74219
6/7/2019,99.74219
6/10/2019,99.74219
6/11/2019,99.74219
6/12/2019,99.74219
6/13/2019,99.74219
6/14/2019,99.74219
6/17/2019,99.74219
6/18/2019,99.74219
6/19/2019,99.74219
6/20/2019,97
6/21/2019,96.25
6/24/2019,96.40625
6/25/2019,96.51562
6/26/2019,95.96875
6/27/2019,96.42188
6/28/2019,96.35156
7/1/2019,96.03125
7/2/2019,96.125
7/3/2019,96.53125
7/5/2019,95.96875
7/8/2019,95.98438
7/9/2019,95.87109
7/10/2019,95.70703
7/11/2019,95.45312
7/12/2019,95.52734
7/15/2019,95.58594
7/16/2019,95.4375
7/17/2019,95.71094
7/18/2019,95.86328
7/19/2019,95.79688
7/22/2019,95.83203
7/23/2019,95.69531
7/24/2019,95.76562
7/25/2019,95.63281
7/26/2019,95.59766
7/29/2019,95.73047
7/30/2019,95.69141
7/31/2019,95.78906
8/1/2019,96.51562
8/2/2019,96.61328
8/5/2019,97.5
8/6/2019,97
8/7/2019,97.5
8/8/2019,97.17188
8/9/2019,97.1875
8/12/2019,97.5625
8/13/2019,97.1875
8/14/2019,97.45312
8/15/2019,97.96875
8/16/2019,98.01562
8/19/2019,97.60938
8/20/2019,97.59375
8/21/2019,97.40625
8/22/2019,97.26562
8/23/2019,97.59375
8/26/2019,97.32812
8/27/2019,97.45312
8/28/2019,97.82812
8/29/2019,97.71875
8/30/2019,98
9/3/2019,98.3125
9/4/2019,99
9/5/2019,98.4375
9/6/2019,98.59375
9/9/2019,98
9/10/2019,97.39062
9/11/2019,97.45312
9/12/2019,97
9/13/2019,96.3125
9/16/2019,96.5625
9/17/2019,96.74219
9/18/2019,96.95312
9/19/2019,97.07422
9/20/2019,97.20312
9/23/2019,97.5
9/24/2019,97.875
9/25/2019,97.28125
9/26/2019,97.5
9/27/2019,97.5625
9/30/2019,97.625
10/1/2019,97.82812
10/2/2019,98.02344
10/3/2019,98.39062
10/4/2019,98.46875
10/7/2019,97.98438
10/8/2019,97.98438
10/9/2019,97.65625
10/10/2019,97.23438
10/11/2019,96.84375
10/15/2019,96.71875
10/16/2019,96.83594
10/17/2019,96.65625
10/18/2019,96.59766
10/21/2019,96.25
10/22/2019,96.21094
10/23/2019,96.10938
10/24/2019,95.94141
10/25/2019,95.60156
10/28/2019,95.21875
10/29/2019,95.16016
10/30/2019,95.32812
10/31/2019,96.10938
11/1/2019,95.96094
11/4/2019,96.5
11/5/2019,96.125
11/6/2019,96.64062
11/7/2019,95.79688
11/8/2019,96.09375
11/12/2019,96.375
11/13/2019,96.60156
11/14/2019,96.89062
11/15/2019,96.79688
11/18/2019,96.97266
11/19/2019,97
11/20/2019,97.3125
11/21/2019,97.14453
11/22/2019,97.09375
11/25/2019,96.90625
11/26/2019,97.09375
11/27/2019,96.8125
11/29/2019,96.8125
12/2/2019,96.5625
12/3/2019,97.25
12/4/2019,96.73438
12/5/2019,96.68359
12/6/2019,96.4375
12/9/2019,96.37109
12/10/2019,96.42188
12/11/2019,96.73828
12/12/2019,96.1875
12/13/2019,96.76562
12/16/2019,96.39062
12/17/2019,96.59375
12/18/2019,96.59375
12/19/2019,96.79688
12/20/2019,96.85938
12/23/2019,96.84766
12/24/2019,97.00781
12/26/2019,97.03125
12/27/2019,97.24609
12/30/2019,97.17188
12/31/2019,97.15625
1/2/2020,97.3125
1/3/2020,97.3125
1/6/2020,97.25
1/7/2020,97.1875
1/8/2020,96.92188
1/9/2020,96.75
1/10/2020,96.89844
1/13/2020,96.89062
1/14/2020,97.04688
1/15/2020,97.20312
1/16/2020,97.08594
1/17/2020,97
1/21/2020,97.5
1/22/2020,97.64844
1/23/2020,97.89844
1/24/2020,98
1/27/2020,98.375
1/28/2020,98.1875
1/29/2020,98.45312
1/30/2020,98.49219
1/31/2020,98.71094
2/3/2020,98.46875
2/4/2020,98
2/5/2020,97.67969
2/6/2020,97.59766
2/7/2020,97.71875
2/10/2020,97.84375
2/11/2020,97.625
2/12/2020,97.4375
2/13/2020,97.4375
2/14/2020,97.54688
2/18/2020,97.65625
2/19/2020,97.57812
2/20/2020,97.80078
2/21/2020,98.09375
2/24/2020,99.23438
