Date,PX_LAST
1/20/2022,78.159
1/19/2022,78.561
1/18/2022,78.593
1/17/2022,77.5
1/14/2022,76.795
1/13/2022,76.788
1/12/2022,77.389
1/11/2022,77.459
1/10/2022,76.766
1/7/2022,77.291
1/6/2022,75.877
1/5/2022,75.874
1/4/2022,76.366
1/3/2022,75.877
12/31/2021,75.5475
12/30/2021,75.865
12/29/2021,76.0379
12/28/2021,76.229
12/27/2021,76.459
12/24/2021,76.46
12/23/2021,75.8403
12/22/2021,76.1706
12/21/2021,76.1651
12/20/2021,75.6656
12/17/2021,75.631
12/16/2021,75.049
12/15/2021,76.327
12/14/2021,76.326
12/13/2021,76.323
12/10/2021,76.331
12/9/2021,79.479
12/8/2021,79.483
12/7/2021,82.256
12/6/2021,81.972
12/3/2021,81.519
12/2/2021,82.248
12/1/2021,82.173
11/30/2021,81.981
11/29/2021,81.601
11/26/2021,82.3182
11/25/2021,81.529
11/24/2021,81.529
11/23/2021,80.979
11/22/2021,79.21
11/19/2021,77.973
11/18/2021,79.131
11/17/2021,79.132
11/16/2021,80.567
11/15/2021,79
11/12/2021,79.476
11/11/2021,79
11/10/2021,78.777
11/9/2021,76.032
11/8/2021,73.983
11/5/2021,73.591
11/4/2021,73.93
11/3/2021,75.835
11/2/2021,76.335
11/1/2021,78.22
10/29/2021,77.662
10/28/2021,75.748
10/27/2021,75.847
10/26/2021,75.28
10/25/2021,75.2916
10/22/2021,75.538
10/21/2021,75.525
10/20/2021,75.034
10/19/2021,75.042
10/18/2021,75.246
10/15/2021,73.8053
10/14/2021,73.241
10/13/2021,73.433
10/12/2021,73.746
10/11/2021,74
10/8/2021,73.749
10/7/2021,73.856
10/6/2021,73.6335
10/5/2021,73.492
10/4/2021,73.0792
10/1/2021,73.256
9/30/2021,73.707
9/29/2021,73.84
9/28/2021,74.359
9/27/2021,73.31
9/24/2021,72.6
9/23/2021,71.535
9/22/2021,70.5061
9/21/2021,70.808
9/20/2021,70.847
9/17/2021,70.823
9/16/2021,70.344
9/15/2021,69.903
9/14/2021,68.996
9/13/2021,69.5308
9/10/2021,69.976
9/9/2021,69.674
9/8/2021,69.987
9/7/2021,69.661
9/6/2021,69.149
9/3/2021,69.3575
9/2/2021,69.909
9/1/2021,70.6349
8/31/2021,70.707
8/30/2021,70.386
8/27/2021,70.127
8/26/2021,72.152
8/25/2021,72.3581
8/24/2021,71.8687
8/23/2021,71.645
8/20/2021,71.9989
8/19/2021,71.895
8/18/2021,71.9171
8/17/2021,72.003
8/16/2021,72.1936
8/13/2021,72.1627
8/12/2021,72.27
8/11/2021,73.35
8/10/2021,74.23
8/9/2021,73.6956
8/6/2021,72.2942
8/5/2021,72.17
8/4/2021,71.8282
8/3/2021,71.3059
8/2/2021,70.754
7/30/2021,70.47
7/29/2021,70.8027
7/28/2021,70.325
7/27/2021,71.58
7/26/2021,71.87
7/23/2021,71.2913
7/22/2021,70.63
7/21/2021,70.99
7/20/2021,71.3158
7/19/2021,71.4121
7/16/2021,69.8
7/15/2021,69.7288
7/14/2021,69.8782
7/13/2021,70.3537
7/12/2021,70.2
7/9/2021,70.3558
7/8/2021,69.99
7/7/2021,69.08
7/6/2021,68.4453
7/5/2021,68.99
7/2/2021,69.2144
7/1/2021,69.89
6/30/2021,69.14
6/29/2021,69.8509
6/28/2021,69.22
6/25/2021,69.98
6/24/2021,70.19
6/23/2021,70.2256
6/22/2021,71.97
6/21/2021,74.165
6/18/2021,72.93
6/17/2021,72.93
6/16/2021,71.9421
6/15/2021,71.5758
6/14/2021,71.53
6/11/2021,71.2853
6/10/2021,70.15
6/9/2021,70.9923
6/8/2021,70.1539
6/7/2021,69.9385
6/4/2021,70.74
6/3/2021,73.4118
6/2/2021,72.78
6/1/2021,73.41
5/31/2021,74
5/28/2021,74.2914
5/27/2021,75.03
5/26/2021,75.52
5/25/2021,76.3482
5/24/2021,76.93
5/21/2021,77.1797
5/20/2021,76.9317
5/19/2021,77.275
5/18/2021,76.7849
5/17/2021,76.7423
5/14/2021,77.24
5/13/2021,77.5668
5/12/2021,78.1247
5/11/2021,76.9062
5/10/2021,76.0923
5/7/2021,75.66
5/6/2021,76.9539
5/5/2021,76.413
5/4/2021,76.4146
5/3/2021,76.5986
4/30/2021,76.5818
4/29/2021,76.5683
4/28/2021,76.5941
4/27/2021,76.7
4/26/2021,76.4941
4/23/2021,76.8794
4/22/2021,77.0654
4/21/2021,77.6564
4/20/2021,79.47
4/19/2021,79.585
4/16/2021,79.56
4/15/2021,79.25
4/14/2021,80.3309
4/13/2021,79.38
4/12/2021,79.6749
4/9/2021,79.3377
4/8/2021,78.925
4/7/2021,79.1076
4/6/2021,78.9091
4/5/2021,79.6047
4/2/2021,80.0694
4/1/2021,80.468
3/31/2021,81.22
3/30/2021,78.88
3/29/2021,77.67
3/26/2021,77.2003
3/25/2021,76.5977
3/24/2021,76.7181
3/23/2021,76.59
3/22/2021,80.5532
3/19/2021,80.3388
3/18/2021,80.99
3/17/2021,77.27
3/16/2021,77.7592
3/15/2021,78.5248
3/12/2021,77.605
3/11/2021,75.6752
3/10/2021,76.4634
3/9/2021,76.5227
3/8/2021,76.865
3/5/2021,76.11
3/4/2021,74.0782
3/3/2021,72.61
3/2/2021,69.07
3/1/2021,72.07
2/26/2021,74.87
2/25/2021,76.9634
2/24/2021,73.7546
2/23/2021,73.1199
2/22/2021,73.55
2/19/2021,71.58
2/18/2021,69.93
2/17/2021,71.41
2/16/2021,71.04
2/15/2021,67.5
2/12/2021,67.44
2/11/2021,66.385
2/10/2021,65.65
2/9/2021,65.55
2/8/2021,65.3273
2/5/2021,64.775
2/4/2021,64.4553
2/3/2021,63.59
2/2/2021,63.0249
2/1/2021,62.724
1/29/2021,62.9482
1/28/2021,61.99
1/27/2021,61.3394
1/26/2021,60.88
1/25/2021,61.42
1/22/2021,61.72
1/21/2021,61.93
1/20/2021,60.988
1/19/2021,61.2587
1/18/2021,61.5
1/15/2021,61.41
1/14/2021,61.98
1/13/2021,61.3005
1/12/2021,62.47
1/11/2021,62.2085
1/8/2021,60.69
1/7/2021,60.0498
1/6/2021,59.6172
1/5/2021,59.37
1/4/2021,59.82
1/1/2021,60.95
12/31/2020,61.0568
12/30/2020,60.37
12/29/2020,59.34
12/28/2020,58.7823
12/25/2020,58.5
12/24/2020,58.5168
12/23/2020,58.78
12/22/2020,58.4719
12/21/2020,58.6334
12/18/2020,58.34
12/17/2020,58.7769
12/16/2020,59.3001
12/15/2020,59.04
12/14/2020,59.3845
12/11/2020,59.0895
12/10/2020,58.63
12/9/2020,58.6365
12/8/2020,58.6309
12/7/2020,59.1123
12/4/2020,58.999
12/3/2020,58.4286
12/2/2020,59.12
12/1/2020,57.46
11/30/2020,56.93
11/27/2020,56.8127
11/26/2020,56.5
11/25/2020,56.565
11/24/2020,56.573
11/23/2020,56.5426
11/20/2020,56.24
11/19/2020,56.6
11/18/2020,55.73
11/17/2020,55.9434
11/16/2020,56.0991
11/13/2020,56.2133
11/12/2020,56.5
11/11/2020,57.5
11/10/2020,57.37
11/9/2020,57.55
11/6/2020,55.66
11/5/2020,56.44
11/4/2020,57.015
11/3/2020,61.76
11/2/2020,61.7878
10/30/2020,62.374
10/29/2020,61.7232
10/28/2020,59.8465
10/27/2020,59.3804
10/26/2020,59.13
10/23/2020,58.8312
10/22/2020,58.93
10/21/2020,58.805
10/20/2020,59.74
10/19/2020,60.0249
10/16/2020,59.5475
10/15/2020,59.4756
10/14/2020,59.26
10/13/2020,60.0914
10/12/2020,61
10/9/2020,61.1206
10/8/2020,61.15
10/7/2020,61.62
10/6/2020,61.87
10/5/2020,61.81
10/2/2020,60.89
10/1/2020,61.6884
9/30/2020,61.93
9/29/2020,60.965
9/28/2020,61.1265
9/25/2020,60.31
9/24/2020,59.834
9/23/2020,59.68
9/22/2020,60.25
9/21/2020,60.2
9/18/2020,59.785
9/17/2020,61.375
9/16/2020,62.9
9/15/2020,63.44
9/14/2020,63.8
9/11/2020,62.98
9/10/2020,64.4255
9/9/2020,64.255
9/8/2020,64.21
9/7/2020,63.8
9/4/2020,63.6089
9/3/2020,63.3246
9/2/2020,62.5268
9/1/2020,62.3422
8/31/2020,62.7576
8/28/2020,63.4049
8/27/2020,63.083
8/26/2020,62.1686
8/25/2020,61.47
8/24/2020,60.745
8/21/2020,60.18
8/20/2020,59.9
8/19/2020,60.4834
8/18/2020,60.26
8/17/2020,60.4949
8/14/2020,60.3761
8/13/2020,61.4582
8/12/2020,61.2
8/11/2020,60.8383
8/10/2020,60.42
8/7/2020,60.41
8/6/2020,61.08
8/5/2020,61.0665
8/4/2020,60.9719
8/3/2020,60.68
7/31/2020,60.8191
7/30/2020,60.5544
7/29/2020,61.88
7/28/2020,61.7954
7/27/2020,62.688
7/24/2020,62.5
7/23/2020,63.29
7/22/2020,64.3703
7/21/2020,64.4218
7/20/2020,64.4124
7/17/2020,64.38
7/16/2020,64.1985
7/15/2020,64.2435
7/14/2020,65.17
7/13/2020,64.3944
7/10/2020,64.6323
7/9/2020,64.84
7/8/2020,64.9067
7/7/2020,64.8784
7/6/2020,64.99
7/3/2020,65.5
7/2/2020,65.3453
7/1/2020,66.02
6/30/2020,65.9042
6/29/2020,66.28
6/26/2020,66.6178
6/25/2020,66.144
6/24/2020,65.53
6/23/2020,65.522
6/22/2020,65.1094
6/19/2020,64.89
6/18/2020,66.18
6/17/2020,66.91
6/16/2020,67.8794
6/15/2020,67.2027
6/12/2020,66.7812
6/11/2020,65.76
6/10/2020,64.225
6/9/2020,65.77
6/8/2020,65.77
6/5/2020,66.7267
